Название товара;Цена
Установка Drufomat Scan для термоформования, серебристая;532488.0
Установка Drufomat Scan для термоформования, красная;532488.0
Термоформер 2.1;41237.0
Термопресс 3.0 смарт;260978.0
Переходник для канюли MONOART 10 шт;1310.0
Уценка Relyx Temp NE-временный цемент без эвгенола -базовая паста 30 г+ катализатор 13 г (56660) (срок 17.07.2024);3400.0
Масло для уплотнительных соединений для NSK Prophy-Mate NEO;950.0
Набор детских коронок 48 шт Stainless Steel Primary Molar Crowns (Корейские);18611.0
Calasept - (1шпр.x 1,5мл.);2720.0
Панель для замешивания с защитным экраном;1600.0
Насадки смесительные для Pentamix, красные - (1 х 30шт.);5200.0
Аппарат Ларина;22500.0
